Event,Slug,Script,Episode,What to review,Era,Region,Severity,Category,Anchor (narrator),Why this anchor,Doc voice M,Doc voice F,Anchor wpm,Word ceiling,Words,Est. minutes,Rendered minutes,Drift vs estimate (min),Gate,Perspectives,Perspective titles,Scenes,Rests,Documents read aloud,Voices in script,Cold open (the misconception it refuses),Close (last beat),Written before these rules existed,Chapters,File MB,Listen,Event page
World War I,world-war-i,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1799,13.42,13.91,0.49,clean,5,The Entente and the Allied victors | Germany and the Central Powers | The soldiers and the frontline experience | The colonial world and the Global South | Revisionist historiography,5,7,3,M+N,"Gavrilo Princip was nineteen, and he had already missed his chance once that day. Another conspirator's bomb had bounced off the Archduke's car earlier and wounded bystanders instead. Then the driver took a wrong turn onto the wrong street in Sarajevo, realized his mistake, and stopped the car to reverse it. Princip was standing a few feet away, outside a delicatessen. He fired twice. The heir to the Austro-Hungarian throne and his wife Sophie were both dead within minutes. And it took thirty seven days for that one shooting to become a war between five empires.","The armistice took effect at eleven in the morning on November eleventh, nineteen eighteen. The fighting had lasted four years and three months. Ho Chi Minh, then a young man living in Paris, petitioned that same year's peace conference for basic rights for the Vietnamese. Nobody answered him. And the influenza that spread through the crowded troop ships and trenches in nineteen eighteen kept killing long after the guns stopped. It killed more people than the war did.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.7,https://news.voidvision.org/audio/history/world-war-i.mp3,https://news.voidvision.org/history/world-war-i/
September 11 and the War on Terror,september-11-attacks,written,queued,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1961,14.53,,,clean,5,American Establishment | Afghan and Iraqi Civilian | Intelligence Community: The Blowback Thesis | Muslim Diaspora: Under Suspicion | Global South: The Unipolar Fracture,7,5,3,F+M+N,"Two countries paid for what happened that morning. Neither one attacked it. Fifteen of the nineteen hijackers were Saudi citizens. None were Iraqi. None were Afghan. Eighteen months after the towers fell, the United States invaded a country with no hijackers in it, on a case that fell apart.","On August the thirtieth, two thousand twenty one, the last American soldier left Afghanistan. The Taliban had already retaken Kabul, eleven days before the final withdrawal. The twenty year war ended exactly where it began: with the Taliban in Kabul.",H-11 secondhand + impersonated voice; institutional-voice convention,,,,https://news.voidvision.org/history/september-11-attacks/
The Arab Spring,arab-spring,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,catastrophic,revolution,am_michael,"catastrophic revolution: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1789,13.88,,,clean,5,The revolutionaries | The regime | The Muslim Brotherhood | The realists | Women's experience,5,6,4,F+M+N,"You think you know how this one starts. A vendor sets himself on fire to protest a dictatorship, and the dictatorship falls. That is not quite what happened. Mohamed Bouazizi did not stand outside a palace or a parliament. He stood outside the local governor's office, in a town of forty thousand people, after an inspector took his fruit cart and his scale, worth about two hundred dollars, and refused to let him inside to complain. Two more presidents fell within the year that followed, in three different ways, and of the six countries this shook, exactly one became a democracy.",The cart and the scale that Faida Hamdi confiscated were worth about two hundred dollars. That confiscation became the symbol of an uprising that reached seventeen countries.,institutional-voice convention,,,,https://news.voidvision.org/history/arab-spring/
The Chinese Cultural Revolution,chinese-cultural-revolution,written,queued,nothing outstanding,contemporary,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1786,13.86,,,clean,5,The Maoist Case | The Persecuted Cadres and Intellectuals | The Red Guard Generation | The Party's Historical Verdict | Tibet and the Ethnic Minorities,5,6,3,F+M+N,"You think this was children rising up against their elders. On August the fifth, nineteen sixty six, the Chairman of the Chinese Communist Party wrote four words in a big character poster: bombard the headquarters. The headquarters he meant was his own party, the one he had led for seventeen years. Two and a half months earlier, on May the sixteenth, that party's own Central Committee had circulated a document, drafted under his direction, accusing its own leadership of secretly restoring capitalism. The attack on the schools came after the attack on the government.","The generation sent down to the countryside includes Xi Jinping, who spent seven years in a cave dwelling in Shaanxi province. In two thousand twenty one, the party's new historical resolution folded the entire ten years into a single paragraph.",none (has every current rule),,,,https://news.voidvision.org/history/chinese-cultural-revolution/
The Collapse of the Soviet Union,soviet-union-collapse,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,critical,revolution,bm_george,critical revolution: mid weight,bm_lewis,af_aoede,145.0,2015,1758,13.22,,,clean,5,Western Triumph | Russian Statist | The Newly Independent Republics | The Ordinary Citizen | Scholarship on Causes,4,6,3,F+M+N,"A country of two hundred and ninety million people, spanning eleven time zones and one sixth of the planet's land surface, from Brest to the Bering Strait, did not end in a war. It did not end in a revolution. Three men signed three pages at a hunting lodge in a forest, and by the time anyone else found out, it was already over. The president of the country still nominally in charge found out by telephone. The whole thing took seventeen days, in paperwork.","The Soviet arsenal, roughly twenty seven thousand warheads, split across Russia, Ukraine, Kazakhstan, and Belarus. Ukraine surrendered about nineteen hundred of them to Russia in nineteen ninety four, in exchange for a guarantee of its own borders. Russia broke that guarantee itself: first annexing Crimea in twenty fourteen, then invading in twenty twenty two. The borders drawn casually inside one country in the nineteen twenties became the front lines of Europe's largest war since nineteen forty five.",institutional-voice convention,,,,https://news.voidvision.org/history/soviet-union-collapse/
The Inca Empire and the Spanish Conquest,inca-conquest-peru,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,early-modern,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1780,13.81,,,clean,5,The Inca Record | The Conquistadors' Case | The Resistance | The Epidemic That Beat Him There | The Andean Present,6,6,3,F+M+N,"Ask how the Inca empire fell and most people describe a trick: an emperor captured, a ransom demanded, a room filled with gold. The ransom was paid. Not partly, in full: a room over six meters long and five meters wide, filled with gold, and two more rooms filled with silver, carried in on llama back over eight months. The deal held for eight months. It did not hold on the last day. And the one object Atahualpa reached for that might have told him what these strangers wanted told him nothing at all.","The room where the ransom was piled still stands in Cajamarca. It is the only Inca building left standing in that city. On its wall, Atahualpa drew a line marking the height the gold had to reach. It is still there.",institutional-voice convention,,,,https://news.voidvision.org/history/inca-conquest-peru/
The Mongol Conquest of Baghdad,mongol-conquest-baghdad,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,medieval,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1811,13.5,,,clean,5,Mongol Imperial | Abbasid and Islamic Civilization | Chinese and East Asian | The Revisionist Argument | The Surviving Scholars,5,6,4,M+N,"You think you know this one. Mongol riders swept out of the steppe and destroyed the capital of the Islamic world, alone. The force that surrounded Baghdad's walls in twelve fifty eight ran to somewhere between one hundred twenty thousand and one hundred fifty thousand troops, and it was not only Mongol. Chinese siege engineers rode with it. So did Georgian Christian cavalry, and Armenian troops. Behind the walls stood twenty thousand men under the last Abbasid caliph, many of them demoralized, many unpaid. This was not two civilizations meeting on a battlefield. It was a coalition, arriving at a caliphate that had already stopped being able to defend itself.","Thirty one years before the sack, Caliph al-Mustansir founded a school in Baghdad known as the Mustansiriya Madrasa. It served all four Sunni schools of law and housed one of the city's own libraries. It is one of the only Abbasid era buildings still standing in Baghdad today.",institutional-voice convention,,,,https://news.voidvision.org/history/mongol-conquest-baghdad/
The Ottoman Empire,ottoman-empire,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,medieval,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1912,14.76,,,clean,5,Turkish Republican / Kemalist | Arab Nationalist | Balkan / Orthodox Christian | Revisionist / Pluralist | Postcolonial / Dissolution Consequences,5,7,2,F+M+N,"Say the Ottoman Empire and you probably think of Turks ruling for Turks. For long stretches of six centuries, the men actually running the empire were not born Turkish, not born free, and not born Muslim. They were Christian boys taken from their villages as children, forced to convert, and trained to administer the state that had taken them. Some of the most powerful officials in its history never once chose to belong to it.","In fourteen ninety two, Thessaloniki took in the ships Bayezid the Second sent for the Jews expelled from Spain. Four hundred and thirty years later, the empire that sent those ships was abolished by a general born in that same city.",institutional-voice convention,,,,https://news.voidvision.org/history/ottoman-empire/
The Peloponnesian War,peloponnesian-war,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,ancient,,major,war,bm_george,major war: mid weight,bm_lewis,af_aoede,145.0,2015,1979,14.75,,,clean,5,Athenian / Democratic-Imperial | Spartan / Peloponnesian League | Subject Peoples / The Melian Position | Modern Realist / International Relations Theory | Non-Athenian Greek Cities / Subject Allies,7,7,2,M+N,"Say the Peloponnesian War and people picture two armies settling it with spears. Athens against Sparta, one winner left standing. The record does not show that. Sparta burned Athenian farmland almost every summer for years, and Athens simply would not come out to fight. What finally broke Athens was not a battle at all. And when Sparta won, it did not win as the better army. It won with Persian gold, from the same power the two of them had once united to drive out of Greece.","In four eleven BCE, twenty years into a war that would run seven more, the playwright Aristophanes staged a comedy about ending it. In it, the women of Athens and Sparta seize the treasury on the Acropolis and refuse their husbands until the men agree to make peace. It was a comedy. Households across the city really were collapsing, and it still took Athens another seven years to stop.",institutional-voice convention,,,,https://news.voidvision.org/history/peloponnesian-war/
The Pentagon Papers and Watergate,watergate,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,major,political,bm_george,major political: mid weight,bm_lewis,af_aoede,145.0,2015,1634,12.37,,,clean,5,The Investigative Press and the Leaker | The Executive-Power Defense | The Institutional Rule-of-Law View | The Skeptical Revisionist | The Public and the Loss of Trust,6,8,3,F+M+N,"The story goes that two newspaper reporters brought down a president. The record disagrees. Its own institutional account credits grand juries, judges, a special prosecutor, two congressional committees, and a unanimous Supreme Court, not two reporters at a typewriter. And when the break-in happened, almost nobody thought it mattered. A White House spokesman called it a third-rate burglary. That November, the man he worked for carried forty nine states.","Gerald Ford, who had just told the country the nightmare was over, pardons Nixon on September the eighth, nineteen seventy four. One month after the resignation.",institutional-voice convention,,,,https://news.voidvision.org/history/watergate/
The Six-Day War,six-day-war,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1884,14.0,,,clean,5,The Israeli account | The Nasserist account | The Palestinian account | The revisionist account | The diplomatic account,5,6,3,F+M+N,"Call it the Six Day War and you picture six days of fighting. Tanks grinding across three fronts, cities changing hands, a war fought and refought in the field. At seven forty five in the morning on June fifth, nineteen sixty seven, roughly one hundred and eighty Israeli jets crossed the Mediterranean below Egyptian radar and struck eleven airfields at once. Within three hours, about three hundred of Egypt's four hundred and twenty combat aircraft were burning on the ground. The pilots who were supposed to defend Cairo never left the tarmac. The war was decided before most of the Arab world even knew it had begun. Everything that followed for the next five days was a land campaign against an enemy that no longer had an air force.","The occupation that began on June tenth never ended. In twenty twenty six it is fifty nine years old. The refugee population it created, added to the one from nineteen forty eight, now exceeds five point nine million people registered with the United Nations. In the Latrun salient, the villages of Imwas, Yalu, and Beit Nuba were bulldozed within weeks of the ceasefire. Their ruins were later planted over as a public park. It is called Canada Park. The picnic tables sit on the foundations of the houses.",institutional-voice convention,,,,https://news.voidvision.org/history/six-day-war/
The Spanish Civil War,spanish-civil-war,written,queued,nothing outstanding,contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1856,13.81,,,clean,5,Republican Spain | Nationalist Spain | International Volunteers and the Great Powers | The Catholic Church and Rural Spain | Memory and the Historians' War,6,7,6,F+M+N,"You know the postcard version. Young idealists crossing oceans to fight fascism in Spain, Hemingway and Orwell and the Lincoln Battalion, thirty five thousand volunteers from fifty countries. The other side had foreigners too, and more of them. Germany rotated nineteen thousand men of its Condor Legion through Spain. Italy sent as many as seventy five thousand troops. For Germany this was not a romantic cause. It was a laboratory, testing the dive bomber and the fighter plane and the bombing of towns for a war that would start five months after this one ended. The war remembered as the last great cause was also, on the record, somebody else's rehearsal.","Picasso set one condition on the mural's return to Spain: not until public liberties and democratic institutions were restored. He died in nineteen seventy three. Franco died two years later. The painting reached Spain in nineteen eighty one, after democracy, and neither man was alive to see it arrive.",none (has every current rule),,,,https://news.voidvision.org/history/spanish-civil-war/
The Srebrenica Genocide and the Bosnian War,srebrenica-genocide,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1867,13.89,,,clean,5,Bosniak Survivors and the Legal Record | The UN Safe Area and the Dutch Peacekeepers | Genocide Denial versus the International Juridical Finding | The Mothers of Srebrenica | Scholarship on Ethnic Cleansing in the Yugoslav Wars,5,6,3,F+M+N,"A safe area, the United Nations called it. A resolution passed, votes counted, the words written down: free from any armed attack. On July eleventh, nineteen ninety five, the general commanding the army outside that safe area walked into its town on camera and said the time had come to take revenge. Six hundred peacekeepers were stationed inside it. They did not fire a shot. A resolution is a sentence. It cannot stop a bulldozer.","Munira Subasic searched for her son Nermin for years. His remains were found in pieces, across two graves.",institutional-voice convention,,,,https://news.voidvision.org/history/srebrenica-genocide/
The Sykes-Picot Agreement,sykes-picot-agreement,written,queued,predates the institutional-voice convention: a report or agency may be read in the F voice,modern,,critical,empire,bm_george,critical empire: mid weight,bm_lewis,af_aoede,145.0,2015,1859,13.92,,,clean,5,British and French Imperial | Arab Nationalist / The Betrayal | Zionist | Peoples of the Levant and Mesopotamia | Later Scholarship / The Myth and the Line,6,7,6,M+N,"You know the story. Two men, a map, a ruler, the modern Middle East drawn in an afternoon. Here is what the record says instead. That line was never implemented. Mosul, given to France, ended up in British Iraq. Palestine, meant as an international zone, became a British mandate outright. The borders on the map today were drawn later, by conferences those two men were never invited to. A century afterward, a militia bulldozed a border and named the video after a map that had already stopped being the map.","Faisal had led the Arab Revolt, been crowned king of an independent Syria, and watched Maysalun burn that kingdom down. Britain installed him instead as king of Iraq: a country assembled from three Ottoman provinces, whose borders he had not drawn and whose peoples he barely knew.",institutional-voice convention,,,,https://news.voidvision.org/history/sykes-picot-agreement/
The 2008 Global Financial Crisis,global-financial-crisis-2008,NOT WRITTEN,,script not written yet,contemporary,,catastrophic,economic,am_michael,"catastrophic economic: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/global-financial-crisis-2008/
The Algerian War of Independence,algerian-war,NOT WRITTEN,,script not written yet,contemporary,,catastrophic,independence,bm_lewis,catastrophic independence: the gravest voice,bm_george,af_aoede,146.0,2029,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/algerian-war/
The Assassination of Julius Caesar,assassination-of-caesar,NOT WRITTEN,,script not written yet,classical,,critical,political,bm_george,critical political: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/assassination-of-caesar/
The Bandung Conference,bandung-conference,NOT WRITTEN,,script not written yet,contemporary,,major,political,bm_george,major political: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/bandung-conference/
The Bolivarian Revolutions,bolivarian-revolutions,NOT WRITTEN,,script not written yet,modern,,major,revolution,bm_george,major revolution: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/bolivarian-revolutions/
The Chinese Civil War and the Founding of the People's Republic,chinese-civil-war,NOT WRITTEN,,script not written yet,contemporary,,catastrophic,revolution,am_michael,"catastrophic revolution: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/chinese-civil-war/
The Congo Wars,congo-wars,NOT WRITTEN,,script not written yet,contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/congo-wars/
The Conquests of Alexander,alexanders-conquests,NOT WRITTEN,,script not written yet,classical,,catastrophic,empire,am_michael,"catastrophic empire: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/alexanders-conquests/
The Cyrus Cylinder,cyrus-cylinder,NOT WRITTEN,,script not written yet,ancient,,major,political,bm_george,major political: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/cyrus-cylinder/
The Iran-Iraq War,iran-iraq-war,NOT WRITTEN,,script not written yet,contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/iran-iraq-war/
The Khmer Empire,angkor-khmer-empire,NOT WRITTEN,,script not written yet,medieval,,major,empire,bm_george,major empire: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/angkor-khmer-empire/
The Kingdom of Kongo,kingdom-of-kongo,NOT WRITTEN,,script not written yet,early-modern,,major,political,bm_george,major political: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/kingdom-of-kongo/
The Mughal Empire,mughal-empire,NOT WRITTEN,,script not written yet,early-modern,,major,political,bm_george,major political: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/mughal-empire/
The Suez Crisis,suez-crisis,NOT WRITTEN,,script not written yet,contemporary,,critical,war,am_michael,critical war,bm_daniel,af_aoede,140.0,1946,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/suez-crisis/
The Taiping Rebellion,taiping-rebellion,NOT WRITTEN,,script not written yet,modern,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/taiping-rebellion/
The Treaty of Waitangi and the New Zealand Wars,treaty-of-waitangi,NOT WRITTEN,,script not written yet,modern,,major,empire,bm_george,major empire: mid weight,bm_lewis,af_aoede,145.0,2015,,,,,,,,,,,,,,,,,,https://news.voidvision.org/history/treaty-of-waitangi/
